Commodity,BS_Month,Month_Name,Unit,Monthly_Min,Monthly_Max,Monthly_Avg,Daily_Records
Cabbage(Local),1,Baisakh,kg,10.0,25.0,13.8,31
Cabbage(Local),2,Jestha,kg,8.0,16.0,12.25,31
Cabbage(Local),3,Asar,kg,5.0,15.0,10.94,30
Cabbage(Local),4,Shrawan,kg,8.0,50.0,16.91,31
Cabbage(Local),5,Bhadra,kg,30.0,80.0,61.61,31
Cabbage(Local),6,Ashwin,kg,45.0,80.0,63.55,11
Cabbage(Terai),3,Asar,kg,10.0,15.0,12.5,1
Cabbage(Terai),5,Bhadra,kg,80.0,90.0,86.67,1
Capsicum,1,Baisakh,kg,60.0,100.0,82.13,31
Capsicum,2,Jestha,kg,40.0,100.0,68.07,32
Capsicum,3,Asar,kg,40.0,90.0,69.26,31
Capsicum,4,Shrawan,kg,50.0,120.0,73.62,32
Capsicum,5,Bhadra,kg,60.0,140.0,84.73,31
Capsicum,6,Ashwin,kg,70.0,90.0,78.79,11
Carrot(Local),1,Baisakh,kg,50.0,90.0,70.32,31
Carrot(Local),2,Jestha,kg,60.0,120.0,87.66,32
Carrot(Local),3,Asar,kg,80.0,120.0,103.36,31
Carrot(Local),4,Shrawan,kg,80.0,140.0,111.7,32
Carrot(Local),5,Bhadra,kg,80.0,150.0,123.69,31
Carrot(Local),6,Ashwin,kg,90.0,150.0,130.3,11
Carrot(Terai),1,Baisakh,kg,40.0,70.0,52.67,14
Carrot(Terai),5,Bhadra,kg,70.0,100.0,90.59,17
Carrot(Terai),6,Ashwin,kg,70.0,100.0,85.76,11
Cauli Local,1,Baisakh,kg,15.0,70.0,41.71,31
Cauli Local,2,Jestha,kg,40.0,80.0,66.46,32
Cauli Local,3,Asar,kg,40.0,100.0,68.82,31
Cauli Local,4,Shrawan,kg,50.0,100.0,71.21,32
Cauli Local,5,Bhadra,kg,50.0,130.0,90.32,31
Cauli Local,6,Ashwin,kg,70.0,110.0,87.45,11
Cauli Local(Jyapu),1,Baisakh,kg,25.0,80.0,51.55,31
Cauli Local(Jyapu),2,Jestha,kg,60.0,100.0,79.49,32
Cauli Local(Jyapu),3,Asar,kg,50.0,120.0,81.94,31
